freq	mag	phase
7112908151.79	-29.6169109344	22.8575630188
7112908351.79	-29.6278076172	22.58411026
7112908551.79	-29.6418056488	22.2553825378
7112908751.79	-29.6521530151	22.0025959015
7112908951.79	-29.6649265289	21.7176818848
7112909151.79	-29.6777992249	21.3886528015
7112909351.79	-29.6896877289	21.0978393555
7112909551.79	-29.7010478973	20.8152046204
7112909751.79	-29.713596344	20.5196762085
7112909951.79	-29.7254142761	20.1888332367
7112910151.79	-29.740694046	19.8599643707
7112910351.79	-29.7530784607	19.5694332123
7112910551.79	-29.7673988342	19.2151088715
7112910751.79	-29.781671524	18.8664455414
7112910951.79	-29.7962684631	18.5416488647
7112911151.79	-29.8091106415	18.2299690247
7112911351.79	-29.8248672485	17.8784599304
7112911551.79	-29.8409881592	17.5183734894
7112911751.79	-29.8560905457	17.1820011139
7112911951.79	-29.8706893921	16.8432331085
7112912151.79	-29.8866004944	16.4722194672
7112912351.79	-29.9025096893	16.1211509705
7112912551.79	-29.9201469421	15.7231464386
7112912751.79	-29.9373950958	15.3374013901
7112912951.79	-29.9542217255	14.9592084885
7112913151.79	-29.9754161835	14.5362529755
7112913351.79	-29.9948310852	14.1298074722
7112913551.79	-30.0123271942	13.7574520111
7112913751.79	-30.02876091	13.3768577576
7112913951.79	-30.050365448	12.9352073669
7112914151.79	-30.0715389252	12.4788103104
7112914351.79	-30.0896682739	12.0710163116
7112914551.79	-30.1083698273	11.7014408112
7112914751.79	-30.134021759	11.1996707916
7112914951.79	-30.1552562714	10.7055835724
7112915151.79	-30.1743125916	10.3083209991
7112915351.79	-30.1995048523	9.8061170578
7112915551.79	-30.219789505	9.3702955246
7112915751.79	-30.2444820404	8.89730548859
7112915951.79	-30.2691516876	8.39351654053
7112916151.79	-30.2937870026	7.90898084641
7112916351.79	-30.3196315765	7.41554737091
7112916551.79	-30.3464679718	6.85498189926
7112916751.79	-30.3712825775	6.37863826752
7112916951.79	-30.3977909088	5.86556816101
7112917151.79	-30.4246349335	5.33062934875
7112917351.79	-30.4554672241	4.7455496788
7112917551.79	-30.4852657318	4.17402982712
7112917751.79	-30.5133953094	3.63583946228
7112917951.79	-30.545009613	3.07135176659
7112918151.79	-30.5737876892	2.52529907227
7112918351.79	-30.607831955	1.88873744011
7112918551.79	-30.640871048	1.25803089142
7112918751.79	-30.6717910767	0.67052179575
7112918951.79	-30.7087745667	0.0257931556553
7112919151.79	-30.7478637695	-0.664188325405
7112919351.79	-30.7801132202	-1.23034977913
7112919551.79	-30.8115139008	-1.8547513485
7112919751.79	-30.8507270813	-2.54084444046
7112919951.79	-30.887845993	-3.20032525063
7112920151.79	-30.9318161011	-3.95836472511
7112920351.79	-30.9733943939	-4.70586299896
7112920551.79	-31.0163440704	-5.44456672668
7112920751.79	-31.0589828491	-6.18624830246
7112920951.79	-31.1006069183	-6.9016046524
7112921151.79	-31.1454391479	-7.69521045685
7112921351.79	-31.1958217621	-8.55935382843
7112921551.79	-31.236497879	-9.22374153137
7112921751.79	-31.2865467072	-10.1176490784
7112921951.79	-31.3375377655	-10.9914064407
7112922151.79	-31.3891906738	-11.8570833206
7112922351.79	-31.4326152802	-12.6113204956
7112922551.79	-31.490196228	-13.5534944534
7112922751.79	-31.5448493958	-14.4647626877
7112922951.79	-31.6002445221	-15.372885704
7112923151.79	-31.6581115723	-16.3201522827
7112923351.79	-31.7132797241	-17.2387619019
7112923551.79	-31.776058197	-18.2660293579
7112923751.79	-31.8362770081	-19.2835788727
7112923951.79	-31.8941993713	-20.2449588776
7112924151.79	-31.9586372375	-21.3429145813
7112924351.79	-32.0264320374	-22.3861370087
7112924551.79	-32.093296051	-23.4916381836
7112924751.79	-32.1588668823	-24.5453548431
7112924951.79	-32.2366714478	-25.8191928864
7112925151.79	-32.305557251	-26.9577274323
7112925351.79	-32.3772392273	-28.1541690826
7112925551.79	-32.4515304565	-29.3701267242
7112925751.79	-32.5195617676	-30.5391597748
7112925951.79	-32.6015472412	-31.8435344696
7112926151.79	-32.6865158081	-33.1942749023
7112926351.79	-32.7633743286	-34.5236968994
7112926551.79	-32.839679718	-35.8208808899
